Layer,Entity Type,Linear (m),Area (m²),Count,Material Tag,Material Key,Partition Ref,Start X,Start Y,End X,End Y,Radius
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
S-COLS,INSERT,0.0,0.0,1,,,,,,,,
A-WALL,LINE,6.65,0.0,1,,,,153752.2494954034,463970.1876360504,160406.9633922616,463970.1876360505,
A-WALL,LINE,0.71,0.0,1,,,,154112.749393952,464320.1876360505,153402.2494954034,464320.1876360505,
A-WALL,LINE,3.05,0.0,1,,,,153752.2494954034,460920.1876344601,153752.2494954034,463970.1876360505,
A-WALL,LINE,3.4,0.0,1,,,,153402.2494954034,464320.1876360505,153402.2494954034,460920.1876344601,
A-WALL,LINE,0.32,0.0,1,,,,160406.9633922616,461270.18763446,160091.279779673,461270.18763446,
A-WALL,LINE,0.32,0.0,1,,,,160091.279779673,460920.18763446,160406.9633922616,460920.18763446,
A-WALL,LINE,0.25,0.0,1,,,,154883.2494954034,461270.1876344601,154883.2494954034,461020.1876344601,
A-WALL,LINE,4.2,0.0,1,,,,154883.2494954034,460920.1876344601,159081.279779673,460920.18763446,
A-WALL,LINE,0.47,0.0,1,,,,153873.2494954034,461270.1876344601,153402.2495355901,461270.1876344601,
A-WALL,LINE,0.47,0.0,1,,,,153402.2494954034,460920.1876344601,153873.2494954034,460920.1876344601,
A-WALL,LINE,0.25,0.0,1,,,,153873.2494954034,461020.1876344601,153873.2494954034,461270.1876344601,
A-WALL,LINE,2.7,0.0,1,,,,160406.9633922616,463970.1876360504,160406.9633922616,461270.18763446,
A-WALL,LINE,0.46,0.0,1,,,,160406.9633922616,460920.18763446,160406.9633922616,460461.7808647042,
A-WALL,LINE,0.35,0.0,1,,,,160407.2493986881,460461.7808647042,160756.9633922616,460461.7808647042,
A-WALL,LINE,3.86,0.0,1,,,,160756.9633922616,460461.7808647042,160756.9633922616,464320.1876360505,
A-WALL,LINE,0.61,0.0,1,,,,160406.9633922616,459511.7808647043,160406.9633922616,458905.2336113606,
A-WALL,LINE,2.53,0.0,1,,,,160406.9633922616,458555.2336113606,160406.9633922616,456020.2336304056,
A-WALL,LINE,3.49,0.0,1,,,,160756.9633922616,456020.2336304056,160756.9633922616,459511.7808647043,
A-WALL,LINE,0.35,0.0,1,,,,160756.9633922616,459511.7808647043,160407.2493986881,459511.7808647043,
A-WALL,LINE,0.5,0.0,1,,,,160406.9633922616,458905.2336113606,159907.4633922616,458905.2336113606,
